id,n_design,n_reference,truth,unet_n,unet_verdict,deeplabv3plus_n,deeplabv3plus_verdict,hrnet_n,hrnet_verdict,segformer_n,segformer_verdict
24,5,5,NOMINAL,5,NOMINAL,5,NOMINAL,5,NOMINAL,5,NOMINAL
25,7,7,NOMINAL,7,NOMINAL,7,NOMINAL,7,NOMINAL,7,NOMINAL
26,7,7,NOMINAL,7,NOMINAL,7,NOMINAL,7,NOMINAL,7,NOMINAL
27,14,14,NOMINAL,14,NOMINAL,14,NOMINAL,14,NOMINAL,14,NOMINAL
28,12,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL
29,10,10,NOMINAL,10,NOMINAL,10,NOMINAL,10,NOMINAL,10,NOMINAL
30,11,11,NOMINAL,11,NOMINAL,11,NOMINAL,11,NOMINAL,11,NOMINAL
32,11,11,NOMINAL,11,NOMINAL,11,NOMINAL,11,NOMINAL,11,NOMINAL
33,9,9,NOMINAL,9,NOMINAL,9,NOMINAL,9,NOMINAL,9,NOMINAL
34,12,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL
35,11,11,NOMINAL,11,NOMINAL,11,NOMINAL,11,NOMINAL,11,NOMINAL
36,12,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL
37,10,10,NOMINAL,10,NOMINAL,11,OPEN,10,NOMINAL,10,NOMINAL
40,6,6,NOMINAL,6,NOMINAL,6,NOMINAL,6,NOMINAL,6,NOMINAL
41,12,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL
42,10,10,NOMINAL,11,OPEN,11,OPEN,10,NOMINAL,11,OPEN
44,7,7,NOMINAL,7,NOMINAL,7,NOMINAL,7,NOMINAL,7,NOMINAL
45,12,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL
47,12,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL
48,9,9,NOMINAL,9,NOMINAL,9,NOMINAL,9,NOMINAL,9,NOMINAL
49,13,13,NOMINAL,13,NOMINAL,13,NOMINAL,13,NOMINAL,14,OPEN
50,14,14,NOMINAL,14,NOMINAL,14,NOMINAL,14,NOMINAL,13,BRIDGE
51,14,14,NOMINAL,14,NOMINAL,14,NOMINAL,14,NOMINAL,13,BRIDGE
52,15,15,NOMINAL,15,NOMINAL,15,NOMINAL,15,NOMINAL,15,NOMINAL
54,10,10,NOMINAL,10,NOMINAL,10,NOMINAL,10,NOMINAL,10,NOMINAL
55,5,5,NOMINAL,5,NOMINAL,5,NOMINAL,5,NOMINAL,5,NOMINAL
56,10,9,BRIDGE,9,BRIDGE,9,BRIDGE,9,BRIDGE,9,BRIDGE
57,6,6,NOMINAL,6,NOMINAL,6,NOMINAL,6,NOMINAL,6,NOMINAL
58,6,6,NOMINAL,7,OPEN,6,NOMINAL,6,NOMINAL,6,NOMINAL
59,6,6,NOMINAL,7,OPEN,6,NOMINAL,6,NOMINAL,6,NOMINAL
60,6,6,NOMINAL,7,OPEN,6,NOMINAL,6,NOMINAL,6,NOMINAL
62,6,6,NOMINAL,7,OPEN,6,NOMINAL,6,NOMINAL,6,NOMINAL
63,6,6,NOMINAL,6,NOMINAL,6,NOMINAL,6,NOMINAL,6,NOMINAL
64,6,6,NOMINAL,7,OPEN,6,NOMINAL,6,NOMINAL,6,NOMINAL
65,6,6,NOMINAL,7,OPEN,6,NOMINAL,6,NOMINAL,6,NOMINAL
66,12,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL
67,14,14,NOMINAL,14,NOMINAL,14,NOMINAL,14,NOMINAL,14,NOMINAL
68,7,7,NOMINAL,7,NOMINAL,7,NOMINAL,8,OPEN,7,NOMINAL
69,12,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL
70,12,11,BRIDGE,11,BRIDGE,11,BRIDGE,11,BRIDGE,11,BRIDGE
71,13,13,NOMINAL,12,BRIDGE,12,BRIDGE,12,BRIDGE,12,BRIDGE
72,13,13,NOMINAL,13,NOMINAL,13,NOMINAL,13,NOMINAL,13,NOMINAL
